---------------------------
Episode 0
Step: 19 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.736 0.432 0.824 0.721]
---------------------------
Episode 2
Step: 3 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5    0.736  0.4388 0.824  0.721 ]
Step: 4 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5    0.736  0.4456 0.7416 0.721 ]
Step: 5 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5     0.736   0.40784 0.6592  0.721  ]
Step: 6 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5     0.6624  0.37008 0.5768  0.721  ]
Step: 7 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.45    0.5888  0.33232 0.4944  0.721  ]
---------------------------
Episode 3
Step: 3 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.45     0.5888   0.371188 0.4944   0.721   ]
Step: 4 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.45     0.62992  0.410056 0.4944   0.721   ]
Step: 5 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.45      0.67104   0.5079184 0.4944    0.721    ]
Step: 6 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.45      0.71216   0.6057808 0.54496   0.721    ]
Step: 7 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.45      0.75328   0.7036432 0.59552   0.7489   ]
---------------------------
Episode 4
Step: 3 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.45      0.75328   0.7036432 0.59552   0.7489   ]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.45      0.75328   0.7036432 0.611296  0.7489   ]
Step: 5 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.627072   0.74437432]
Step: 6 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.6554688  0.73984864]
Step: 7 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.6838656  0.73532296]
Step: 8 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.7122624  0.73079728]
Step: 9 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.45      0.75328   0.7036432 0.7406592 0.7262716]
Step: 10 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.769056   0.72174592]
Step: 11 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.45       0.75328    0.7036432  0.7974528  0.71722024]
Step: 12 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.45       0.75769728 0.7036432  0.8258496  0.71269456]
